Anodizado
Fecha: 10-Jan-2014 15:43:56
Tension	Corriente
0.000000e+000	3.195170e-006
6.666667e-002	8.955320e-006
1.333333e-001	1.207830e-005
2.000000e-001	1.461900e-005
2.666667e-001	1.613190e-005
3.333333e-001	1.717300e-005
4.000000e-001	1.797950e-005
4.666667e-001	1.888430e-005
5.333333e-001	2.053000e-005
6.000000e-001	2.395800e-005
6.666667e-001	2.956500e-005
7.333333e-001	3.640790e-005
8.000000e-001	4.417910e-005
8.666667e-001	5.267260e-005
9.333333e-001	6.094510e-005
1.000000e+000	7.032430e-005
1.066667e+000	8.050810e-005
1.133333e+000	9.159490e-005
1.200000e+000	1.038150e-004
1.266667e+000	1.183090e-004
1.333333e+000	1.347090e-004
1.400000e+000	1.532580e-004
1.466667e+000	1.734650e-004
1.533333e+000	1.949130e-004
1.600000e+000	2.175820e-004
1.666667e+000	2.414220e-004
1.733333e+000	2.662190e-004
1.800000e+000	2.914640e-004
1.866667e+000	3.165620e-004
1.933333e+000	3.406980e-004
2.000000e+000	3.643330e-004
2.066667e+000	3.873610e-004
2.133333e+000	4.112690e-004
2.200000e+000	4.369640e-004
2.266667e+000	4.634560e-004
2.333333e+000	4.909790e-004
2.400000e+000	5.191150e-004
2.466667e+000	5.471530e-004
2.533333e+000	5.753370e-004
2.600000e+000	6.051990e-004
2.666667e+000	6.378340e-004
2.733333e+000	6.699400e-004
2.800000e+000	7.026330e-004
2.866667e+000	7.344230e-004
2.933333e+000	7.636120e-004
3.000000e+000	7.908330e-004
3.066667e+000	8.186600e-004
3.133333e+000	8.453440e-004
3.200000e+000	8.712400e-004
3.266667e+000	8.973200e-004
3.333333e+000	9.231470e-004
3.400000e+000	9.480350e-004
3.466667e+000	9.697410e-004
3.533333e+000	9.926410e-004
3.600000e+000	1.019210e-003
3.666667e+000	1.042340e-003
3.733333e+000	1.063820e-003
3.800000e+000	1.086810e-003
3.866667e+000	1.108960e-003
3.933333e+000	1.129710e-003
4.000000e+000	1.150140e-003
4.066667e+000	1.170070e-003
4.133333e+000	1.188650e-003
4.200000e+000	1.204730e-003
4.266667e+000	1.220200e-003
4.333333e+000	1.237480e-003
4.400000e+000	1.250400e-003
4.466667e+000	1.265760e-003
4.533333e+000	1.280920e-003
4.600000e+000	1.296030e-003
4.666667e+000	1.308610e-003
4.733333e+000	1.321590e-003
4.800000e+000	1.336300e-003
4.866667e+000	1.350170e-003
4.933333e+000	1.364630e-003
5.000000e+000	1.378030e-003
5.066667e+000	1.392480e-003
5.133333e+000	1.403760e-003
5.200000e+000	1.412840e-003
5.266667e+000	1.420030e-003
5.333333e+000	1.430940e-003
5.400000e+000	1.441260e-003
5.466667e+000	1.451230e-003
5.533333e+000	1.460340e-003
5.600000e+000	1.468350e-003
5.666667e+000	1.475710e-003
5.733333e+000	1.485980e-003
5.800000e+000	1.496820e-003
5.866667e+000	1.508410e-003
5.933333e+000	1.522420e-003
6.000000e+000	1.537090e-003
6.066667e+000	1.551520e-003
6.133333e+000	1.557920e-003
6.200000e+000	1.567880e-003
6.266667e+000	1.578190e-003
6.333333e+000	1.591990e-003
6.400000e+000	1.617190e-003
6.466667e+000	1.639320e-003
6.533333e+000	1.652660e-003
6.600000e+000	1.657750e-003
6.666667e+000	1.659060e-003
6.733333e+000	1.661960e-003
6.800000e+000	1.669020e-003
6.866667e+000	1.675600e-003
6.933333e+000	1.683200e-003
7.000000e+000	1.687630e-003
7.066667e+000	1.696480e-003
7.133333e+000	1.704280e-003
7.200000e+000	1.713940e-003
7.266667e+000	1.726660e-003
7.333333e+000	1.739760e-003
7.400000e+000	1.751910e-003
7.466667e+000	1.763370e-003
7.533333e+000	1.772140e-003
7.600000e+000	1.781130e-003
7.666667e+000	1.786200e-003
7.733333e+000	1.790600e-003
7.800000e+000	1.799800e-003
7.866667e+000	1.808700e-003
7.933333e+000	1.820450e-003
8.000000e+000	1.832630e-003
8.066667e+000	1.844540e-003
8.133333e+000	1.854430e-003
8.200000e+000	1.861140e-003
8.266667e+000	1.868210e-003
8.333333e+000	1.874450e-003
8.400000e+000	1.880430e-003
8.466667e+000	1.886860e-003
8.533333e+000	1.894020e-003
